id	name	precinct	conservative	progressive	bills	bills_pass	budget	election
1	신동우	강동구갑	3	2	404	63	100000000	1
2	심재권	강동구을	0	5	618	72	230000000	2
3	유일호	송파구을	5	0	315	62	340000000	2
4	박인숙	송파구갑	4	1	1557	68	90000000	1
5	김을동	송파구병	3	2	1143	67	1300000000	2
6	김종훈	강남구을	5	0	287	61	45000000	1
7	심윤조	강남구갑	4	1	374	69	120000000	1
8	강석훈	서초구을	4	1	591	62	210000000	1
9	김회선	서초구갑	3	2	347	62	54000000	1
10	이상규	관악구을	0	5	196	1	10000000	1
11	유기홍	관악구갑	1	4	680	69	100000000	2
12	정몽준	동작구을	5	0	134	37	230000000	7
13	전병헌	동작구갑	1	4	822	68	340000000	3
14	김영주	영등포구갑	2	3	311	31	90000000	2
15	신경민	영등포구을	1	4	1010	66	1300000000	1
16	이목희	금천구	1	4	897	66	45000000	2
17	이인영	구로구갑	1	4	750	68	120000000	2
18	박영선	구로구을	1	4	450	64	210000000	3
19	신기남	강서구갑	2	3	430	66	54000000	4
20	김성태	강서구을	3	2	606	61	10000000	2
21	김용태	양천구을	4	1	348	61	100000000	2
22	길정우	양천구갑	4	1	391	64	230040000	1
23	노웅래	마포구갑	0	5	720	68	340000000	2
24	정청래	마포구을	0	5	1032	66	90000000	2
25	우상호	서대문구갑	1	4	356	66	1300000000	2
26	정두언	서대문구을	4	1	269	63	45000000	3
27	이재오	은평구을	5	0	219	65	120000000	5
28	이미경	은평구갑	0	5	1060	63	210000000	5
29	이노근	노원구갑	4	1	1365	64	54000000	1
30	우원식	노원구을	1	4	994	66	10000000	2
31	안철수	노원구병	2	3	93	31	340000000	1
32	유인태	도봉구을	2	3	412	65	90000000	3
33	인재근	도봉구갑	1	4	1102	66	1300000000	1
34	오영식	강북구갑	1	4	694	67	45000000	3
35	유대운	강북구을	1	4	762	67	120000000	1
36	신계륜	성북구을	1	4	349	64	210000000	4
37	유승희	성북구갑	0	5	787	69	54000000	2
38	박홍근	중량구을	1	4	1770	70	10000000	1
39	서영교	중량구갑	1	4	972	70	100000000	1
40	안규백	동대문구갑	1	4	1151	66	230040000	2
41	민병두	동대문구을	1	4	607	67	340000000	2
42	추미애	광진구을	2	3	772	68	90000000	4
43	김한길	광진구갑	2	3	230	62	1300000000	4
44	최재천	성동구갑	2	3	314	61	45000000	2
45	홍익표	성동구을	1	4	391	65	120000000	1
46	진영	용산구	4	1	221	62	210000000	3
47	정호준	중구	1	4	662	64	54000000	1
48	정세균	종로구	1	4	567	65	10000000	5
